"Especie","Toneladas","Tamanho","Sexo","Dia","Mes","Ano","Latitude","Longitude"
"Tubarao Azul",2.1,154.26,"M",10,11,2023,82.626244481653,84.9490091577172
"Tubarao Azul",0.59,165.52,"F",2,1,2022,-23.360118214041,-31.0500887408853
"Outros",0.82,169.79,"F",9,5,2022,-52.914935820736,134.732126947492
"Albacora laje",6.26,178.91,"F",10,12,2022,-59.2761169094592,179.36166937463
"Albacora bandolim",1.82,176.24,"F",14,11,2018,-28.3626730972901,82.0964628551155
"Meca",5.01,179.41,"F",10,6,2018,-47.2876631515101,68.3883430995047
"Meca",0.61,122.23,"M",12,6,2019,-28.4508029418066,-118.679195763543
"Outros",6.75,132.14,"F",2,9,2019,-13.5321580432355,-107.059406731278
"Albacora branca",0.37,157.25,"M",26,4,2019,-12.4863182287663,86.504650907591
"Albacora branca",4.19,131.15,"F",26,12,2023,80.0613079732284,76.591000277549
"Meca",7.96,132.87,"M",8,9,2021,-86.1294823279604,154.044535271823
"Albacora branca",3.33,155.67,"M",8,8,2019,11.9552215654403,-79.4581790361553
"Tubarao Azul",6.8,123.3,"M",20,2,2018,87.9982478823513,84.0998681355268
"Albacora laje",0.82,174.99,"F",12,9,2018,-29.1045302012935,-7.16304226778448
"Albacora branca",5.21,146.83,"M",15,4,2022,-58.4865246573463,126.273526092991
"Tubarao Azul",5.72,186.95,"M",20,1,2023,4.00193992070854,-114.575680503622
"Albacora laje",6.37,165.19,"M",10,2,2020,-19.0628895442933,-80.3873531520367
"Albacora branca",1.72,143.32,"M",12,3,2020,-50.379605954513,35.1617426611483
"Outros",0.46,188.68,"M",5,3,2019,-37.4921007547528,93.5683720652014
"Albacora branca",3.32,169.44,"F",23,10,2021,-53.8272066134959,-133.165498450398
"Albacora branca",2.29,122.54,"F",1,5,2021,2.16997372917831,-130.290721077472
"Tubarao Azul",2.03,141,"F",17,10,2019,-42.0561931701377,-145.42400887236
"Albacora laje",6.72,166.88,"F",19,9,2018,11.0760646127164,114.931806698442
"Albacora branca",2.77,157.35,"F",14,9,2021,-21.411136421375,-110.21661744453
"Albacora bandolim",2.07,129.66,"F",27,6,2019,-29.8239236371592,-26.3282595109195
"Outros",1.11,172.04,"M",21,12,2020,83.5086556244642,-170.050244322047
"Outros",3.17,131.68,"F",14,4,2019,83.7839383212849,138.783680610359
"Outros",7.39,149.65,"F",21,3,2022,-59.6626842068508,64.7944313753396
"Meca",6.8,187.16,"F",25,2,2019,50.9923204779625,152.08603117615
"Tubarao Azul",1.82,115.54,"F",13,12,2020,-87.8993758745492,128.111808970571
"Tubarao Azul",4.95,120.9,"M",20,8,2022,-9.29469833616167,171.527627762407
"Tubarao Azul",0.58,132.63,"F",6,6,2022,10.1184957101941,-164.976743040606
"Albacora bandolim",2.28,185.85,"F",10,12,2019,61.4156442554668,-39.3515434116125
"Albacora branca",4.21,156.69,"M",8,12,2018,-56.5463554719463,-38.3020734786987
"Tubarao Azul",3.33,120.09,"M",27,4,2020,-46.6889382759109,-10.0245960149914
"Albacora branca",7.67,140.14,"M",25,7,2023,-1.90553176682442,128.085963707417
"Albacora branca",0.43,139.77,"M",21,6,2022,-32.2276292089373,-33.0318274721503
"Albacora branca",6.3,162.73,"M",17,7,2022,-35.7065882021561,135.136308269575
"Outros",6.42,149.61,"M",17,8,2022,-61.5035776281729,-122.679505152628
"Albacora branca",7.43,145.65,"M",8,9,2021,3.98248640354723,94.8097232915461
"Albacora bandolim",4.07,156.48,"F",15,8,2020,-51.7061909940094,-153.52019039914
"Albacora laje",2.54,125.48,"F",19,7,2018,72.8659089608118,-63.065130840987
"Outros",2.68,159.94,"M",15,6,2019,-69.1135713877156,-120.339481635019
"Albacora bandolim",7.66,131.94,"M",19,9,2023,-2.21484905574471,-88.1577065493912
"Outros",1.63,122.52,"F",24,3,2018,-20.0085691781715,60.0477021932602
"Meca",4.19,182.89,"F",19,10,2021,88.9486191188917,137.547499174252
"Albacora bandolim",3.4,121.98,"M",18,11,2023,-33.397475425154,90.7121373061091
"Tubarao Azul",5.1,146.42,"M",26,8,2018,2.28314568288624,56.673820540309
"Outros",6.16,152.44,"F",18,4,2018,-85.6971999630332,-149.643218871206
"Albacora laje",3.09,181.75,"M",20,10,2021,-26.4133499935269,92.8379835840315
"Albacora bandolim",5.2,144.27,"F",9,2,2023,-72.5271922722459,172.818906549364
"Tubarao Azul",5.7,179.13,"F",24,7,2021,-57.7938308520243,47.1002684812993
"Albacora branca",5.95,157.23,"M",2,9,2023,-52.7714570006356,142.571684606373
"Meca",2.93,126.8,"M",1,11,2023,-89.1391769098118,-44.6111835446209
"Outros",2.63,174.93,"M",1,12,2018,-53.6634678952396,57.7285502012819
"Tubarao Azul",5.34,121.74,"F",20,5,2022,-33.8586249388754,-107.695974390954
"Albacora laje",4.06,121.13,"F",27,4,2019,-15.6063769105822,-109.644906688482
"Albacora laje",3.29,175.11,"M",17,7,2020,-7.04181388020515,-84.1512920334935
"Albacora laje",6.93,176.4,"M",7,9,2023,-47.817050870508,103.113163467497
"Outros",2.42,170.78,"M",27,1,2021,-36.7032020632178,-109.398149074987
"Meca",1.47,160.52,"F",17,3,2021,-62.3464229190722,147.680243616924
"Albacora bandolim",1.3,181,"F",17,9,2018,-49.59318109788,134.263540338725
"Albacora laje",7.86,146.07,"M",23,1,2023,-12.8254065290093,106.475559147075
"Outros",2.99,181.75,"F",4,11,2019,-85.2602997981012,-94.869440747425
"Outros",2.66,184.46,"F",7,7,2019,57.0602613128722,168.685764614493
"Outros",7.59,137.8,"M",10,5,2019,-44.0322264656425,-52.4524485971779
"Tubarao Azul",1.09,180.51,"F",26,5,2019,-19.1174712404609,-111.306109456345
"Albacora branca",7.64,140.58,"F",4,12,2021,-23.8028246490285,-175.283697461709
"Albacora branca",7.67,128.52,"M",14,4,2020,-20.3629988757893,-29.0244936291128
"Albacora laje",4.23,117.8,"F",27,1,2019,44.2937187524512,-6.89023420214653
"Albacora bandolim",0.81,165.1,"F",17,8,2018,-46.6248428681865,-87.974691549316
"Outros",3.32,179.85,"F",19,4,2018,-59.2514819093049,114.830022314563
"Albacora branca",5.72,117.75,"F",1,7,2021,-51.6037646401674,153.162763835862
"Outros",4.42,171.38,"F",21,9,2021,-84.6405583899468,163.203240623698
"Albacora branca",6.45,187.53,"F",26,6,2022,-42.4314636737108,-142.605410870165
"Albacora bandolim",1.73,130.32,"F",1,10,2023,80.1049501961097,151.394673613831
"Albacora laje",2.49,168.94,"M",13,8,2022,-28.6018716590479,89.5419421512634
"Albacora bandolim",2.21,141.66,"F",17,3,2021,-8.94319082144648,123.408440966159
"Albacora laje",4.42,173.89,"M",11,10,2018,-51.9991721212864,129.760751277208
"Tubarao Azul",5.5,127.88,"M",18,9,2022,58.1964517151937,-10.8728247508407
"Meca",5.8,186.05,"M",15,6,2018,70.0509581761435,-133.712746370584
"Meca",1.68,169.45,"F",19,1,2022,66.3043740671128,-20.2445187885314
"Tubarao Azul",5.4,154.05,"F",2,4,2018,-13.6761829862371,76.3521729502827
"Albacora bandolim",2.11,144.18,"M",5,2,2020,-40.7833414105698,-91.5288065839559
"Albacora laje",1.94,161.7,"M",11,12,2023,-68.8413215987384,29.6877429820597
"Albacora bandolim",1.92,170.37,"F",23,2,2021,-46.9359846878797,18.3290898799896
"Albacora bandolim",2.99,135.96,"M",12,4,2020,-61.7472090013325,31.2084470316768
"Tubarao Azul",2.47,184.93,"F",13,2,2020,82.0230545662344,-177.57900763303
"Outros",7.8,134.13,"F",8,5,2020,-69.6367694064975,165.653088279068
"Albacora bandolim",6.11,130.15,"F",20,12,2019,-22.0882544713095,-78.2071125134826
"Albacora bandolim",3.33,137.48,"F",16,10,2018,-84.4708788301796,145.149583602324
"Tubarao Azul",5.72,143.8,"M",12,5,2021,73.9458471117541,79.3994915485382
"Albacora branca",2.12,177.24,"F",7,2,2020,51.1658003926277,2.55990304984152
"Albacora bandolim",7.74,179.11,"F",27,11,2019,47.5220689410344,142.811149293557
"Tubarao Azul",5.36,140.67,"F",4,11,2020,53.6422397615388,151.675908509642
"Albacora laje",4.84,146.23,"M",27,8,2018,78.8876660959795,152.423534207046
"Albacora branca",0.39,146.28,"M",1,6,2023,-87.5612270599231,99.2536309920251
"Tubarao Azul",5.71,175.85,"F",7,8,2020,-31.4538751076907,-107.731298496947
"Tubarao Azul",6.95,139.77,"F",22,1,2020,43.0448917485774,-45.9673247672617
"Albacora bandolim",7.49,129.93,"M",24,3,2021,-34.8454426182434,-9.87795671448112
"Albacora laje",4.29,118.35,"F",7,10,2018,-35.0819891877472,-26.275290241465
"Albacora laje",1.69,119.96,"F",15,4,2020,-60.1003048382699,-8.71232156641781
"Outros",5.29,178.14,"F",10,12,2021,-55.338079361245,57.6852860022336
"Albacora bandolim",7.39,123.34,"F",27,3,2018,-2.05199580173939,-152.066610306501
"Albacora laje",4.32,145.25,"M",13,3,2021,86.7455785302445,162.949583530426
"Outros",3.14,126.7,"M",22,12,2021,-71.5103354444727,-45.6029383745044
"Albacora branca",5.35,186.19,"F",4,10,2019,-55.5050723534077,-28.7799954414368
"Albacora branca",4.03,181.43,"F",23,6,2020,-18.2346980413422,-136.568874679506
"Albacora branca",4.49,168.04,"M",4,8,2023,77.0420750789344,47.532122656703
"Tubarao Azul",4.27,158.42,"M",8,8,2019,72.5695078913122,-102.60800586082
"Albacora laje",1.84,129.21,"M",4,1,2022,49.0369111066684,-61.7172922287136
"Albacora laje",7.02,139.83,"M",16,9,2018,88.8327426603064,87.7257969696075
"Albacora branca",1.26,178.82,"M",15,1,2022,-58.4044302860275,-19.563975725323
"Meca",0.56,115.96,"M",28,10,2018,-20.4099590331316,53.031175006181
"Tubarao Azul",6.18,144.69,"F",8,11,2018,-89.5286469440907,140.368218217045
"Albacora bandolim",3.56,120.62,"F",9,8,2022,77.1715303463861,-145.964642381296
"Outros",6.83,159.91,"F",21,10,2021,71.8020855216309,-59.553002519533
"Tubarao Azul",7.65,140.18,"F",25,8,2021,-76.7910576984286,-151.773022329435
"Albacora branca",1.54,134.12,"F",10,1,2023,-57.4140349589288,60.2443962916732
"Albacora bandolim",0.64,150.32,"F",10,10,2021,-45.09835367091,66.7905629239976
"Albacora bandolim",5.41,174.22,"F",21,6,2023,81.346203899011,-108.995037283748
"Meca",6.8,183.97,"F",6,1,2018,3.01163545344025,-136.383355334401
"Albacora branca",5.21,153.76,"F",16,12,2022,-87.3393947118893,35.4983565397561
"Albacora bandolim",8,186.16,"M",5,12,2020,7.33570704236627,174.405730655417
"Albacora branca",4.22,183.45,"F",28,11,2022,43.1487203529105,15.0818899646401
"Outros",3.73,124.46,"F",18,6,2018,-85.5522643681616,-150.758589673787
"Albacora laje",0.34,148.38,"F",9,7,2019,-62.7544476790354,71.6961953882128
"Tubarao Azul",3.81,179.65,"F",25,1,2022,-25.8994846791029,66.7157370876521
"Meca",7.16,160.22,"F",20,3,2021,-38.3331115823239,131.878147758543
"Albacora laje",7.21,120.83,"F",18,8,2023,-68.2235043402761,12.3247557878494
"Meca",1.12,164.43,"F",15,1,2020,57.7198927849531,-90.9727440029383
"Albacora bandolim",3.93,119.15,"F",13,8,2023,72.0217605354264,40.4610399249941
"Outros",2.92,151.53,"F",20,5,2021,-42.3935414291918,10.4844573978335
"Albacora laje",4.11,174.66,"M",28,12,2022,-59.1339962929487,-32.4743260536343
"Tubarao Azul",5.83,140.87,"M",23,9,2018,73.3696550130844,-65.5341156385839
"Albacora bandolim",1.27,175.94,"F",8,11,2022,44.5057761669159,-51.4872714411467
"Albacora branca",1.08,158.54,"F",3,7,2018,-69.9972665542737,-37.9293035063893
"Outros",2.61,121.83,"M",22,9,2021,76.2521240394562,157.353502018377
"Albacora branca",4.84,165.75,"M",18,10,2018,-62.7879934385419,-19.1098307166249
"Meca",3.16,181.35,"M",8,9,2018,-53.4646543487906,42.7210642956197
"Meca",5.18,188.87,"F",9,1,2019,-43.4144071955234,-33.5175759438425
"Outros",7.51,118.88,"M",22,10,2022,-31.8297330569476,-31.8158154934645
"Outros",6.09,119.8,"M",21,8,2018,-50.3454175125808,-94.9262099526823
"Albacora bandolim",7.39,188.83,"F",5,6,2018,-25.2944465121254,62.3294943664223
"Albacora bandolim",7.89,132.78,"M",3,2,2020,-42.9063388891518,-99.3182619195431
"Meca",6.86,160.51,"F",2,6,2022,-64.2913900315762,-21.4560805633664
"Tubarao Azul",7.98,138.06,"F",13,3,2023,-40.7182719837874,-98.0466137174517
"Meca",2.82,126.86,"M",18,8,2019,87.1796695841476,8.54532304219902
"Albacora bandolim",5.98,150.89,"F",2,3,2018,-64.8624953208491,-107.709857504815
"Outros",2.54,169.01,"M",9,10,2018,-39.262356525287,-54.5528661925346
"Tubarao Azul",3.04,130.98,"F",26,8,2022,59.9978683423251,-91.7598847579211
"Meca",0.13,144.9,"F",12,4,2023,60.6257500452921,-22.2810246236622
"Albacora branca",3.92,145.02,"M",27,9,2018,-23.2737709069625,85.6871667411178
"Albacora laje",2.4,130.87,"F",13,11,2023,82.1931381337345,-161.768650235608
"Albacora branca",5.47,165.63,"M",27,6,2020,-40.27928434778,-95.4319558851421
"Tubarao Azul",0.79,164.95,"F",21,9,2023,-87.9909538244829,31.6613445617259
"Outros",3.7,151.51,"M",22,3,2020,4.66669441200793,-48.1277464795858
"Tubarao Azul",4.95,148.05,"F",3,1,2022,79.8496784130111,88.0826977360994
"Meca",7.6,180.15,"M",26,8,2018,-84.4249527063221,-113.766225781292
"Outros",2.23,183.92,"F",2,8,2018,76.2900970783085,42.406190559268
"Outros",5.25,184.72,"F",24,3,2022,-70.8384799724445,-54.09438053146
"Meca",0.63,156.25,"M",23,3,2018,-0.380074926652014,152.564500132576
"Tubarao Azul",1.44,128.42,"M",19,7,2020,-22.2989053186029,37.9938436578959
"Meca",4.31,133.86,"M",8,5,2018,-65.1922201132402,103.965492881835
"Albacora branca",2.64,155.88,"F",18,2,2020,81.2697619060054,176.849154923111
"Meca",0.55,182.8,"M",21,9,2018,-1.44458333496004,43.9658324886113
"Albacora laje",2.14,189.45,"M",4,11,2023,77.0918249431998,61.8945238832384
"Albacora laje",7.43,160.9,"F",15,3,2023,-27.0891885040328,-37.3637559637427
"Albacora branca",2.3,125.84,"M",12,2,2021,-6.82519142981619,-114.152976516634
"Albacora bandolim",5.82,152.25,"M",28,1,2022,3.51029918063432,-100.82614492625
"Albacora laje",0.83,116.37,"F",27,7,2019,82.0381243480369,23.3932647015899
"Albacora bandolim",0.54,175.94,"M",28,7,2021,9.85848052427173,-159.345819884911
"Meca",6.07,139.45,"M",24,10,2021,-3.06596577633172,-122.199602052569
"Albacora branca",3.69,162.95,"F",10,4,2019,83.0068765953183,94.6609828993678
"Tubarao Azul",4.69,149.98,"F",16,8,2023,87.1466839872301,139.875724660233
"Albacora laje",1.94,142.38,"M",1,4,2019,-29.0176245756447,176.584388623014
"Albacora bandolim",5.21,165.6,"M",1,4,2020,48.7800945807248,141.738785617054
"Albacora branca",1.68,163.37,"M",19,7,2023,-44.5892116008326,124.823681227863
"Albacora laje",2.75,186.56,"M",2,8,2023,-88.6411297973245,-20.2222629915923
"Albacora branca",2.82,173.53,"M",8,6,2019,-42.5572865176946,-118.476547580212
"Albacora bandolim",0.24,138.71,"F",6,12,2022,-4.36321708839387,132.307752482593
"Albacora laje",1,163.8,"M",16,4,2021,74.7150345426053,-177.100646803156
"Meca",1.29,186.3,"F",23,5,2019,48.8730618730187,-6.93440733477473
"Albacora branca",0.83,146.99,"F",13,2,2018,-87.8437229711562,-76.660285172984
"Albacora branca",1.64,149.87,"F",12,6,2021,-15.9212014032528,-116.042558820918
"Albacora laje",0.87,183.25,"M",9,8,2022,-64.1046892991289,-36.5668419934809
"Tubarao Azul",2.12,181.96,"F",20,11,2019,-64.1648210724816,175.890172915533
"Albacora bandolim",5.45,115.51,"F",4,9,2023,47.2236567176878,-21.7491541430354
"Meca",5.06,181.27,"F",9,5,2019,42.5641435431316,33.7468219175935
"Albacora bandolim",6.5,180.54,"F",12,8,2019,-69.5027717761695,-119.432500451803
"Albacora laje",3.93,139.88,"M",14,1,2023,-68.1525967502967,-4.85947734676301
"Albacora bandolim",7.58,182.18,"F",12,9,2020,-56.3775911321864,-75.1608291640878
"Albacora bandolim",0.39,120.38,"F",1,8,2021,71.5634184563532,-18.0663213226944
"Albacora branca",7.29,165.9,"F",23,2,2018,7.2692064056173,-175.226496336982
"Albacora bandolim",7.79,175.74,"M",23,4,2019,-18.2569615077227,-12.6989521086216
"Albacora branca",7.78,179.91,"M",23,8,2023,-78.8259713491425,-158.632576251402
"Albacora bandolim",2.94,131.83,"F",3,6,2019,8.56159927323461,60.5998466536403
"Albacora laje",0.45,135.72,"M",28,1,2021,73.8341787876561,80.6506517808884
"Meca",4.14,180.24,"M",23,11,2023,-16.5009628096595,111.35405017063
"Albacora branca",7.99,140.84,"M",25,7,2021,-29.6042950171977,-73.9380035363138
"Albacora laje",1.84,159.37,"M",27,9,2021,-20.2661630418152,55.0566583033651
"Albacora bandolim",2.38,151.67,"F",14,4,2019,-45.5219022603706,-161.574939507991
"Albacora laje",1.6,135.07,"M",6,3,2018,52.8752161609009,-52.7507293503731
"Outros",3.14,183.57,"M",7,9,2019,-6.07662758789957,-141.554418196902
"Tubarao Azul",3.86,158.18,"F",18,1,2023,-37.0183103252202,166.626944979653
"Albacora bandolim",1.92,146.3,"M",25,11,2023,-81.3704480510205,-177.020961642265
"Tubarao Azul",1.3,145.94,"M",18,5,2021,70.2716690255329,-168.922085752711
"Outros",2.58,167.9,"F",22,3,2019,79.4114377303049,-105.51898425445
"Albacora laje",6.42,153.36,"F",23,8,2021,-21.1291089328006,36.8485625367612
